code,name,population,lat,long,closestHospName,closestHospDist,closestTertHospName,closestTertHospDist
4015,Bene Yehuda,1070.0,32.798262,35.69107,Poriya,38,Rambam,107
418,Bene Ziyyon,1365.0,32.219514000000004,34.868538,Meir,7,Belinson,20
3612,Beqa'ot,176.0,32.24207,35.452636,Haemek,62,Belinson,87
864,Beqoa,752.0,31.827899,34.924732,Kaplan,16,Hadasa Ein Carem,33
3710,Berakha,2620.0,32.049357,34.758355,Wolfson,2,Ichilov,9
746,Berekhya,1273.0,31.668047,34.624296,Barzilay,7,Shiba,55
428,Beror Hayil,986.0,31.556985,34.646547,Barzilay,23,Soroka,48
2060,Berosh,538.0,31.370721000000003,34.634978000000004,Soroka,28,Soroka,28
95,Bet Alfa,692.0,32.516357,35.430499,Haemek,22,Rambam,67
604,Bet Arif,1156.0,31.995352,34.935103000000005,Asaf Harofe,19,Belinson,19
3652,Bet Arye,5139.0,32.040059,35.049471999999994,Belinson,26,Belinson,26
1076,Bet Berl,208.0,32.1997359,34.926073200000005,Meir,4,Belinson,18
466,Bet Dagan,7211.0,32.0017816,34.829708700000005,Asaf Harofe,5,Shiba,10
3574,Bet El,6042.0,31.9416,35.222734,Hadasa Har Hazofim,26,Hadasa Ein Carem,38
562,Bet El'azari,1563.0,31.844717,34.806627,Kaplan,4,Shiba,31
756,Bet Ezra,1137.0,31.736402,34.657514,Asuta Ashdod,7,Shiba,43
571,Bet Gamli'el,1019.0,31.856128,34.760946999999994,Kaplan,10,Shiba,28
619,Bet Guvrin,426.0,31.61288,34.895568,Barzilay,37,Hadasa Ein Carem,44
3645,Bet HaArava,290.0,31.807762,35.476411,Hadasa Har Hazofim,31,Hadasa Ein Carem,47
572,Bet HaEmeq,553.0,32.971014000000004,35.145305,Nahariya,9,Rambam,38
723,Bet HaGaddi,839.0,31.422839,34.607878,Barzilay,31,Soroka,34
373,Bet HaLewi,803.0,32.351596,34.930443,Laniado,12,Belinson,35
242,Bet HaShitta,1264.0,32.550874,35.439351,Haemek,19,Rambam,63
159,Bet Hanan,548.0,31.935211,34.775596,Kaplan,11,Shiba,17
800,Bet Hananya,912.0,32.529504,34.926734,Hilel Yafe,11,Rambam,40
1050,Bet Hashmonay,2190.0,31.890298,34.917599,Asaf Harofe,14,Shiba,33
877,Bet Herut,904.0,32.376223,34.873765,Hilel Yafe,10,Ichilov,40
322,Bet Hillel,791.0,33.208782,35.606515,Ziv,44,Rambam,121
2033,Bet Hilqiyya,1221.0,31.793001,34.809698,Kaplan,15,Shiba,45
3575,Bet Horon,1362.0,31.879890000000003,35.124097,Hadasa Har Hazofim,20,Hadasa Ein Carem,27
430,Bet Lehem HaGelilit,825.0,32.734558,35.191271,Scotish,24,Rambam,28
751,Bet Me'ir,874.0,31.794786,35.036753000000004,Shaarey Zedek,19,Hadasa Ein Carem,20
784,Bet Nehemya,871.0,31.977142,34.953835,Belinson,21,Belinson,21
672,Bet Neqofa,723.0,31.804392,35.126876,Shaarey Zedek,11,Hadasa Ein Carem,12
16,Bet Nir,612.0,31.647627000000004,34.873107,Barzilay,39,Hadasa Ein Carem,47
317,Bet Oren,467.0,32.731601,35.00632,Carmel,13,Rambam,25
202,Bet Oved,253.0,31.921287,34.774905,Kaplan,10,Shiba,19
598,Bet Qama,1396.0,31.446566,34.762248,Soroka,24,Soroka,24
365,Bet Qeshet,706.0,32.718446,35.394952,Haemek,20,Rambam,62
848,Bet Rabban,979.0,31.817497,34.7289,Asuta Ashdod,11,Shiba,35
1162,Bet Rimmon,789.0,32.781845000000004,35.32773800000001,Holy Family,17,Rambam,54
9200,Bet She'an,18227.0,32.497103,35.497336,Haemek,27,Rambam,71
248,Bet She'arim,744.0,32.703757,35.129933,Scotish,20,Rambam,23
2610,Bet Shemesh,118676.0,31.747041,34.988099,Hadasa Ein Carem,28,Hadasa Ein Carem,28
747,Bet Shiqma,873.0,31.637735,34.610074,Barzilay,8,Shiba,57
301,Bet Uzzi'el,645.0,31.87005,34.904858000000004,Asaf Harofe,14,Shiba,33
200,Bet Yannay,387.0,32.381729,34.863507,Laniado,9,Ichilov,39
